Pos,Team,PTS,Year
4,Hesketh Ford,33,1975 Constructor Standings
5,Tyrrell Ford,25,1975 Constructor Standings
6,Shadow Ford,9.5,1975 Constructor Standings
7,Lotus Ford,9,1975 Constructor Standings
8,March Ford,7.5,1975 Constructor Standings
9,Frank Williams Racing Cars/Williams,6,1975 Constructor Standings
10,Parnelli Ford,5,1975 Constructor Standings
11,Hill Ford,3,1975 Constructor Standings
12,Penske Ford,2,1975 Constructor Standings
13,Ensign Ford,1,1975 Constructor Standings
1,Ferrari,83,1976 Constructor Standings
2,McLaren Ford,74,1976 Constructor Standings
3,Tyrrell Ford,71,1976 Constructor Standings
4,Lotus Ford,29,1976 Constructor Standings
5,Penske Ford,20,1976 Constructor Standings
6,Ligier Matra,20,1976 Constructor Standings
7,March Ford,19,1976 Constructor Standings
8,Shadow Ford,10,1976 Constructor Standings
9,Brabham Alfa Romeo,9,1976 Constructor Standings
10,Surtees Ford,7,1976 Constructor Standings
11,Fittipaldi Ford,3,1976 Constructor Standings
12,Ensign Ford,2,1976 Constructor Standings
13,Parnelli Ford,1,1976 Constructor Standings
1,Ferrari,95,1977 Constructor Standings
2,Lotus Ford,62,1977 Constructor Standings
3,McLaren Ford,60,1977 Constructor Standings
4,Wolf Ford,55,1977 Constructor Standings
5,Brabham Alfa Romeo,27,1977 Constructor Standings
6,Tyrrell Ford,27,1977 Constructor Standings
7,Shadow Ford,23,1977 Constructor Standings
8,Ligier Matra,18,1977 Constructor Standings
9,Fittipaldi Ford,11,1977 Constructor Standings
10,Ensign Ford,10,1977 Constructor Standings
11,Surtees Ford,6,1977 Constructor Standings
12,Penske Ford,1,1977 Constructor Standings
1,Lotus Ford,86,1978 Constructor Standings
2,Ferrari,58,1978 Constructor Standings
3,Brabham Alfa Romeo,53,1978 Constructor Standings
4,Tyrrell Ford,38,1978 Constructor Standings
5,Wolf Ford,24,1978 Constructor Standings
6,Ligier Matra,19,1978 Constructor Standings
7,Fittipaldi Ford,17,1978 Constructor Standings
8,McLaren Ford,15,1978 Constructor Standings
9,Williams Ford,11,1978 Constructor Standings
10,Arrows Ford,11,1978 Constructor Standings
11,Shadow Ford,6,1978 Constructor Standings
12,Renault,3,1978 Constructor Standings
13,Surtees Ford,1,1978 Constructor Standings
14,Ensign Ford,1,1978 Constructor Standings
1,Ferrari,113,1979 Constructor Standings
2,Williams Ford,75,1979 Constructor Standings
3,Ligier Ford,61,1979 Constructor Standings
4,Lotus Ford,39,1979 Constructor Standings
5,Tyrrell Ford,28,1979 Constructor Standings
6,Renault,26,1979 Constructor Standings
7,McLaren Ford,15,1979 Constructor Standings
8,Brabham Ford,7,1979 Constructor Standings
9,Arrows Ford,5,1979 Constructor Standings
10,Shadow Ford,3,1979 Constructor Standings
11,ATS Ford,2,1979 Constructor Standings
12,Fittipaldi Ford,1,1979 Constructor Standings
1,Williams Ford,120,1980 Constructor Standings
2,Ligier Ford,66,1980 Constructor Standings
3,Brabham Ford,55,1980 Constructor Standings
4,Renault,38,1980 Constructor Standings
5,Lotus Ford,14,1980 Constructor Standings
6,Tyrrell Ford,12,1980 Constructor Standings
7,Arrows Ford,11,1980 Constructor Standings
8,Fittipaldi Ford,11,1980 Constructor Standings
9,McLaren Ford,11,1980 Constructor Standings
10,Ferrari,8,1980 Constructor Standings
11,Alfa Romeo,4,1980 Constructor Standings
1,Williams Ford,95,1981 Constructor Standings
2,Brabham Ford,61,1981 Constructor Standings
3,Renault,54,1981 Constructor Standings
4,Ligier Matra,44,1981 Constructor Standings
5,Ferrari,34,1981 Constructor Standings
6,McLaren Ford,28,1981 Constructor Standings
