Pos,Team,PTS,Year
5,Williams Mercedes,138,2016 Constructor Standings
6,McLaren Honda,76,2016 Constructor Standings
7,Toro Rosso Ferrari,63,2016 Constructor Standings
8,Haas Ferrari,29,2016 Constructor Standings
9,Renault,8,2016 Constructor Standings
10,Sauber Ferrari,2,2016 Constructor Standings
11,MRT Mercedes,1,2016 Constructor Standings
1,Mercedes,668,2017 Constructor Standings
2,Ferrari,522,2017 Constructor Standings
3,Red Bull Racing TAG Heuer,368,2017 Constructor Standings
4,Force India Mercedes,187,2017 Constructor Standings
5,Williams Mercedes,83,2017 Constructor Standings
6,Renault,57,2017 Constructor Standings
7,Toro Rosso,53,2017 Constructor Standings
8,Haas Ferrari,47,2017 Constructor Standings
9,McLaren Honda,30,2017 Constructor Standings
10,Sauber Ferrari,5,2017 Constructor Standings
1,Mercedes,655,2018 Constructor Standings
2,Ferrari,571,2018 Constructor Standings
3,Red Bull Racing TAG Heuer,419,2018 Constructor Standings
4,Renault,122,2018 Constructor Standings
5,Haas Ferrari,93,2018 Constructor Standings
6,McLaren Renault,62,2018 Constructor Standings
7,Force India Mercedes,52,2018 Constructor Standings
8,Sauber Ferrari,48,2018 Constructor Standings
9,Scuderia Toro Rosso Honda,33,2018 Constructor Standings
10,Williams Mercedes,7,2018 Constructor Standings
EX,Force India Sahara,0,2018 Constructor Standings
1,Mercedes,739,2019 Constructor Standings
2,Ferrari,504,2019 Constructor Standings
3,Red Bull Racing Honda,417,2019 Constructor Standings
4,McLaren Renault,145,2019 Constructor Standings
5,Renault,91,2019 Constructor Standings
6,Scuderia Toro Rosso Honda,85,2019 Constructor Standings
7,Racing Point BWT Mercedes,73,2019 Constructor Standings
8,Alfa Romeo Racing Ferrari,57,2019 Constructor Standings
9,Haas Ferrari,28,2019 Constructor Standings
10,Williams Mercedes,1,2019 Constructor Standings
1,Mercedes,573,2020 Constructor Standings
2,Red Bull Racing Honda,319,2020 Constructor Standings
3,McLaren Renault,202,2020 Constructor Standings
4,Racing Point BWT Mercedes,195,2020 Constructor Standings
5,Renault,181,2020 Constructor Standings
6,Ferrari,131,2020 Constructor Standings
7,AlphaTauri Honda,107,2020 Constructor Standings
8,Alfa Romeo Racing Ferrari,8,2020 Constructor Standings
9,Haas Ferrari,3,2020 Constructor Standings
10,Williams Mercedes,0,2020 Constructor Standings
1,Mercedes,613.5,2021 Constructor Standings
2,Red Bull Racing Honda,585.5,2021 Constructor Standings
3,Ferrari,323.5,2021 Constructor Standings
4,McLaren Mercedes,275,2021 Constructor Standings
5,Alpine Renault,155,2021 Constructor Standings
6,AlphaTauri Honda,142,2021 Constructor Standings
7,Aston Martin Mercedes,77,2021 Constructor Standings
8,Williams Mercedes,23,2021 Constructor Standings
9,Alfa Romeo Racing Ferrari,13,2021 Constructor Standings
10,Haas Ferrari,0,2021 Constructor Standings
